national_position,position_evolution,company_name,billing,category,company_link
22.129,441.615,CONSTRUCCIONES FERNANDEZ DE NOGRARO SA,grande,4121,https://ranking-empresas.eleconomista.es/CONSTRUCCIONES-FERNANDEZ-NOGRARO.html
22.138,21.158,"GOMETEGUI INDUSTRIAL, SOCIEDAD LIMITADA.",grande,2891,https://ranking-empresas.eleconomista.es/GOMETEGUI-INDUSTRIAL.html
22.223,575,SAGOLA SA,grande,4669,https://ranking-empresas.eleconomista.es/SAGOLA.html
22.259,1.830,COMERCIALIZADORA AGRICOLA DE LA MONTAÑA ALAVESA SL,grande,4621,https://ranking-empresas.eleconomista.es/COMERCIALIZADORA-AGRICOLA-MONTANA-ALAVESA.html
22.330,18.737,INSTALACIONES Y MONTAJES ELECTRICOS DEL VALLE AGUAYO SA,grande,4321,https://ranking-empresas.eleconomista.es/INSTALACIONES-MONTAJES-ELECTRICOS-VALLE-AGUAYO.html
22.403,2.733,VOESTALPINE ROTEC IBERICA SA,grande,2410,https://ranking-empresas.eleconomista.es/VOESTALPINE-ROTEC-IBERICA.html
22.546,2.646,GOROS COOPERATIVA INDUSTRIAL,grande,2511,https://ranking-empresas.eleconomista.es/GOROS-COOPERATIVA-INDUSTRIAL.html
22.670,775,ZIGOR CORPORACION SA,grande,2790,https://ranking-empresas.eleconomista.es/ZIGOR-CORPORACION.html
22.772,1.348,CAFES LA BRASILEÑA SA,grande,1083,https://ranking-empresas.eleconomista.es/CAFES-BRASILENA.html
22.834,(ND),"GIRALDO COCINAMOS POR TI, S.L.",grande,1089,https://ranking-empresas.eleconomista.es/GIRALDO-COCINAMOS-TI.html
23.095,1.381,MA SILVA & GARZON SL,grande,1629,https://ranking-empresas.eleconomista.es/MA-SILVA-GARZON.html
23.250,166,EXCAVACIONES MENDIOLA SA,grande,4312,https://ranking-empresas.eleconomista.es/EXCAVACIONES-MENDIOLA.html
23.265,9.311,CONSTRUCCIONES UGALDE-VALERA SL,grande,4121,https://ranking-empresas.eleconomista.es/CONSTRUCCIONES-UGALDE-VALERA.html
23.364,2.543,OPERADOR LOGISTICO VITOTRANS S.L.,grande,5221,https://ranking-empresas.eleconomista.es/OPERADOR-LOGISTICO-VITOTRANS.html
23.390,2.680,ELECTRIFICACIONES RIOJANAS SA,grande,4321,https://ranking-empresas.eleconomista.es/ELECTRIFICACIONES-RIOJANAS.html
23.411,370,"OSG IBERICA TOOLING, SOCIEDAD LIMITADA.",9.000.933,2824,https://ranking-empresas.eleconomista.es/OSG-IBERICA-TOOLING.html
23.445,5.112,KLINER-PROFESIONAL SA,grande,2041,https://ranking-empresas.eleconomista.es/KLINER-PROFESIONAL.html
23.549,9.183,APROVECHAMIENTOS RESIDUALES METALURGICOS SL,grande,4672,https://ranking-empresas.eleconomista.es/APROVECHAMIENTOS-RESIDUALES-METALURGICOS.html
23.620,9.728,LEZIAGA 1995 CONSTRUCCIONES SL,grande,4299,https://ranking-empresas.eleconomista.es/LEZIAGA-1995-CONSTRUCCIONES.html
23.667,2.231,REM-IRU SL,grande,2829,https://ranking-empresas.eleconomista.es/REM-IRU.html
23.826,1.502,DOLCE STONE SL,8.799.219,4334,https://ranking-empresas.eleconomista.es/DOLCE-STONE.html
23.856,3.238,XCENTRIC RIPPER INTERNATIONAL S.L.,grande,4669,https://ranking-empresas.eleconomista.es/XCENTRIC-RIPPER-INTERNATIONAL.html
23.891,239,SERVICIO Y REPARACION DEL NEUMATICO SA,grande,4531,https://ranking-empresas.eleconomista.es/SERVICIO-REPARACION-NEUMATICO.html
23.998,2.399,ITASUA SOCIEDAD LIMITADA.,grande,7120,https://ranking-empresas.eleconomista.es/ITASUA.html
24.236,602,DESARROLLOS Y UTILIZACIONES INDUSTRIALES SA,grande,2740,https://ranking-empresas.eleconomista.es/DESARROLLOS-UTILIZACIONES-INDUSTRIALES.html
24.550,5.973,WIKOMOBILE IBERIA S.L.,grande,4652,https://ranking-empresas.eleconomista.es/WIKOMOBILE-IBERIA.html
24.598,7.744,AERORECYCLING INTERNATIONAL SOCIEDAD LIMITADA.,grande,4677,https://ranking-empresas.eleconomista.es/AERORECYCLING-INTERNATIONAL.html
24.724,469,CASCOS MAQUINARIA SA,grande,2822,https://ranking-empresas.eleconomista.es/CASCOS-MAQUINARIA.html
24.730,3.700,VENTICLIMA SA,8.415.343,2530,https://ranking-empresas.eleconomista.es/VENTICLIMA.html
24.844,(ND),"CULTIVOS ARABA, SOCIEDAD LIMITADA.",grande,0113,https://ranking-empresas.eleconomista.es/CULTIVOS-ARABA.html
24.847,398,PAL PLASTIC SA,grande,4675,https://ranking-empresas.eleconomista.es/PAL-PLASTIC.html
24.848,3.398,SALINERA ANANA S.L.,8.371.470,0893,https://ranking-empresas.eleconomista.es/SALINERA-ANANA.html
24.888,5.771,GUREAK ARABA SL.,grande,7311,https://ranking-empresas.eleconomista.es/GUREAK-ARABA.html
24.939,378,DORLET SA,grande,2611,https://ranking-empresas.eleconomista.es/DORLET.html
25.105,1.279,IDEC INGENIERIA Y DESARROLLOS DE COMPOSITES SL,grande,7112,https://ranking-empresas.eleconomista.es/IDEC-INGENIERIA-DESARROLLOS-COMPOSITES.html
25.331,2.124,VALVULERIA DEL NORTE SL,grande,4110,https://ranking-empresas.eleconomista.es/VALVULERIA-NORTE.html
25.467,2.363,"BODEGAS COSME PALACIO, S.A.",grande,1102,https://ranking-empresas.eleconomista.es/BODEGAS-COSME-PALACIO.html
25.788,1.428,AUTOCARAVANAS NORTE-SUR SL.,grande,4519,https://ranking-empresas.eleconomista.es/AUTOCARAVANAS-NORTE-SUR.html
25.800,4.692,HORMIGONES PREMEZCLADOS ALAVA SA,grande,2351,https://ranking-empresas.eleconomista.es/HORMIGONES-PREMEZCLADOS-ALAVA.html
25.859,4.362,"SERVICIOS TURISTICOS DE HISPALIS, S.L.",grande,5510,https://ranking-empresas.eleconomista.es/SERVICIOS-TURISTICOS-HISPALIS.html
